"CHEM_COMP_ID","DESCRIPTOR"
"CSU","NOKPBJYHPHHWAN-REOHCLBHSA-N"
"KLW","CYMRPDYINXWJFU-UHFFFAOYSA-N"
"JG4","UZLSJAUHCCPJMC-UHFFFAOYSA-N"
"K36","BSPZFJDYQHDZNR-HTCLRFROSA-N"
"3UQ","OPZOOBQSPMUFBC-UHFFFAOYSA-N"
"VYJ","XVBGRTMNFNMINE-UHFFFAOYSA-N"
"7DR","QKLZHVMWTSBUFL-UHFFFAOYSA-N"
"OOS","HHDXSZQPSZPOBP-MCEYFSPLSA-N"
"SK4","SEAXCOHUTXPNQE-UHFFFAOYSA-N"
"EI9","YZXHBGDGBOTODO-UHFFFAOYSA-N"
"01X","SXKBUHHKKNFJLT-UHFFFAOYSA-N"
"8HN","HZSGYGFOUDGOKL-INIZCTEOSA-N"
"2NC","MQPXOVRKKPPKFZ-QYKDHROSSA-O"
"AM","LXQXZNRPTYVCNG-UHFFFAOYSA-N"
"8SQ","ISLPNEHHRRPVDH-UHFFFAOYSA-N"
"8T7","KCCKFLAAEZFOPE-UHFFFAOYSA-N"
"BU7","WYSQOCWIYDTTJF-FMIVXFBMSA-N"
"PMJ","MVMUALCRWZYTQR-LJQANCHMSA-N"
"RKV","MOPCEJWYTICWJM-UHFFFAOYSA-N"
"JRF","NSMPADIWUYJQKF-UHFFFAOYSA-N"
"GGS","BUSOKXFDTDWPOS-OGGZDJOISA-N"
"BRN","XNYZHCFCZNMTFY-UHFFFAOYSA-N"
"EX3","RIJUCCOLHSAZPO-GOTSBHOMSA-N"
"LU5","KNUFZYGMIQUYJP-UHFFFAOYSA-N"
"50C","SNBMBGHZPHKNIS-UHFFFAOYSA-N"
"LEF","FHOARJRQRXAPOF-WHFBIAKZSA-N"
"7S5","MXZBBTDICSGIKS-UHFFFAOYSA-N"
"PCQ","YCYDXOVJXVALHY-UHFFFAOYSA-N"
"1V8","XJKWXDPKDNEEKV-UHFFFAOYSA-N"
"NG2","SMPGEBOIKULBCT-UHFFFAOYSA-N"
"FMO","XXSHXGUAEVMBMC-DEIBAFIGSA-N"
"GJY","MEHJVKGETWKOKY-SINQZMEQSA-N"
"FTY","HRDUMKHDIFUQGB-QMMMGPOBSA-N"
"QEI","WYROLENTHWJFLR-ACLDMZEESA-N"
"GC9","FDONZIZJWIPGCO-CYVDNQRASA-N"
"GD2","FUJSVEJZTWYXMY-ZDUSSCGKSA-N"
"IIQ","VENQMPULOCFARJ-UHFFFAOYSA-N"
"2ZE","NOFOAYPPHIUXJR-APNQCZIXSA-N"
"Q2V","VHPRRJZGFMSHQV-JUCHKJSUSA-N"
"OPT","IMZNRHOMBTZKJS-IWSHAHEXSA-N"
"5EM","VVHQDGBAFRDCKP-LJQANCHMSA-N"
"AEL","VFDVYUMIEWOVJX-UHFFFAOYSA-N"
"7MU","BGVBBMZMEKXUTR-UHFFFAOYSA-N"
"G2D","PHINNLAJTUGZSZ-HXUWFJFHSA-N"
"3F0","KUHAYJJXXGBYBW-UHFFFAOYSA-N"
"HPF","SPOVITMZOKMJPQ-RKDXNWHRSA-N"
"BEP","UIEATEWHFDRYRU-DEOSSOPVSA-N"
"CPR","ALOBOMYIOYNCBS-KQYNXXCUSA-O"
"9HR","XUZGLJHOFPPBEF-KRWDZBQOSA-N"
"7FY","APAOLMVDZOWNQC-UHFFFAOYSA-N"
"40D","KZCOQBCCEHGWOG-UHFFFAOYSA-N"
"4QX","WQFRHSPASBOZIT-UHFFFAOYSA-N"
"A7I","XIOBNAKYNXSFFO-UHFFFAOYSA-N"
"L6J","KFADNUOGNGGPQM-QVDQXJPCSA-N"
"D8M","BIGFPMOCLWRIMB-JULQROHOSA-N"
"REC","JGKXEMYIHDYWCZ-JFUSQASVSA-N"
"2XC","DGYJHACBCFLLBR-VSOYFRJCSA-N"
"4K2","NMAHWWYZVAQAMR-UHFFFAOYSA-N"
"2RO","SSILBIHZUGTHHN-UHFFFAOYSA-N"
"C1H","QCXYDHYYUCXOLH-UHFFFAOYSA-N"
"PHS","ABLZXFCXXLZCGV-UHFFFAOYSA-N"
"XES","DFKZAFCIROLDRJ-GHMZBOCLSA-N"
"ELN","FLLVVAHFEBGZKD-UHFFFAOYSA-N"
"K3B","BVXWUAMSMQSLCT-IKGPEZKQSA-N"
"OKG","WBOQHFMXKCEWSQ-UHFFFAOYSA-M"
"WFE","MOZRQQTUYAYCQT-FQEVSTJZSA-N"
"3JF","GFVIEZBZIUKYOG-SVFBPWRDSA-N"
"2A9","WHKRHBLAJFYZKF-UHFFFAOYSA-N"
"LXY","RGXNECXVRZKGGH-UOXRKKOCSA-N"
"4FA","MWUVGXCUHWKQJE-UHFFFAOYSA-N"
"98Z","CHIFTAQVXHNVRW-UHFFFAOYSA-N"
